,0,1,2,3,4,Xt
122,93.568,86.575,90.75,99.98,119.945,126.652
123,86.575,90.75,99.98,119.945,126.652,107.675
124,90.75,99.98,119.945,126.652,107.675,100.677
125,99.98,119.945,126.652,107.675,100.677,101.663
126,119.945,126.652,107.675,100.677,101.663,117.417
127,126.652,107.675,100.677,101.663,117.417,119.436
128,107.675,100.677,101.663,117.417,119.436,103.635
129,100.677,101.663,117.417,119.436,103.635,108.149
130,101.663,117.417,119.436,103.635,108.149,94.329
131,117.417,119.436,103.635,108.149,94.329,98.181
132,119.436,103.635,108.149,94.329,98.181,112.983
133,103.635,108.149,94.329,98.181,112.983,119.701
134,108.149,94.329,98.181,112.983,119.701,125.724
135,94.329,98.181,112.983,119.701,125.724,107.179
136,98.181,112.983,119.701,125.724,107.179,108.583
137,112.983,119.701,125.724,107.179,108.583,107.546
138,119.701,125.724,107.179,108.583,107.546,112.167
139,125.724,107.179,108.583,107.546,112.167,125.429
140,107.179,108.583,107.546,112.167,125.429,109.359
141,108.583,107.546,112.167,125.429,109.359,107.966
142,107.546,112.167,125.429,109.359,107.966,100.317
143,112.167,125.429,109.359,107.966,100.317,107.595
144,125.429,109.359,107.966,100.317,107.595,113.584
145,109.359,107.966,100.317,107.595,113.584,126.626
146,107.966,100.317,107.595,113.584,126.626,124.309
147,100.317,107.595,113.584,126.626,124.309,111.9
148,107.595,113.584,126.626,124.309,111.9,108.331
149,113.584,126.626,124.309,111.9,108.331,107.034
150,126.626,124.309,111.9,108.331,107.034,124.95
151,124.309,111.9,108.331,107.034,124.95,126.887
152,111.9,108.331,107.034,124.95,126.887,109.086
153,108.331,107.034,124.95,126.887,109.086,106.803
154,107.034,124.95,126.887,109.086,106.803,95.341
155,124.95,126.887,109.086,106.803,95.341,101.892
156,126.887,109.086,106.803,95.341,101.892,116.698
157,109.086,106.803,95.341,101.892,116.698,134.789
158,106.803,95.341,101.892,116.698,134.789,122.28
159,95.341,101.892,116.698,134.789,122.28,112.03
160,101.892,116.698,134.789,122.28,112.03,107.235
161,116.698,134.789,122.28,112.03,107.235,107.317
162,134.789,122.28,112.03,107.235,107.317,117.127
163,122.28,112.03,107.235,107.317,117.127,124.043
164,112.03,107.235,107.317,117.127,124.043,106.754
165,107.235,107.317,117.127,124.043,106.754,108.607
166,107.317,117.127,124.043,106.754,108.607,102.222
167,117.127,124.043,106.754,108.607,102.222,112.257
168,124.043,106.754,108.607,102.222,112.257,126.2
169,106.754,108.607,102.222,112.257,126.2,140.582
170,108.607,102.222,112.257,126.2,140.582,139.268
171,102.222,112.257,126.2,140.582,139.268,117.773
172,112.257,126.2,140.582,139.268,117.773,113.515
173,126.2,140.582,139.268,117.773,113.515,111.217
174,140.582,139.268,117.773,113.515,111.217,124.314
175,139.268,117.773,113.515,111.217,124.314,133.468
176,117.773,113.515,111.217,124.314,133.468,120.783
177,113.515,111.217,124.314,133.468,120.783,115.584
178,111.217,124.314,133.468,120.783,115.584,106.49
179,124.314,133.468,120.783,115.584,106.49,111.2
180,133.468,120.783,115.584,106.49,111.2,128.537
181,120.783,115.584,106.49,111.2,128.537,141.139
182,115.584,106.49,111.2,128.537,141.139,148.031
183,106.49,111.2,128.537,141.139,148.031,121.057
184,111.2,128.537,141.139,148.031,121.057,117.165
185,128.537,141.139,148.031,121.057,117.165,116.659
186,141.139,148.031,121.057,117.165,116.659,131.695
187,148.031,121.057,117.165,116.659,131.695,132.233
188,121.057,117.165,116.659,131.695,132.233,124.345
189,117.165,116.659,131.695,132.233,124.345,122.803
190,116.659,131.695,132.233,124.345,122.803,111.194
191,131.695,132.233,124.345,122.803,111.194,115.915
192,132.233,124.345,122.803,111.194,115.915,126.031
193,124.345,122.803,111.194,115.915,126.031,138.083
194,122.803,111.194,115.915,126.031,138.083,139.614
195,111.194,115.915,126.031,138.083,139.614,124.594
196,115.915,126.031,138.083,139.614,124.594,119.943
197,126.031,138.083,139.614,124.594,119.943,120.824
198,138.083,139.614,124.594,119.943,120.824,143.264
199,139.614,124.594,119.943,120.824,143.264,132.923
200,124.594,119.943,120.824,143.264,132.923,116.26
201,119.943,120.824,143.264,132.923,116.26,121.806
202,120.824,143.264,132.923,116.26,121.806,115.909
203,143.264,132.923,116.26,121.806,115.909,118.556
