,Transform,Test_Size,Tetangga,MSE_coba,MAPE_coba
79,6,0.2,9,0.010470626038973786,0.08378020290895627
80,6,0.3,2,0.007469996429590013,0.06229387443363168
81,6,0.3,3,0.00813415395531852,0.06634390550743981
82,6,0.3,5,0.008873892615953826,0.06983999039595837
83,6,0.3,7,0.00971535892245782,0.07327762013296232
84,6,0.3,9,0.010251747172422051,0.07604750751065135
85,6,0.4,2,0.013974500880468057,0.07879939030150206
86,6,0.4,3,0.014643938164207643,0.08143895535162543
87,6,0.4,5,0.013875270455716671,0.07947583232294989
88,6,0.4,7,0.013488109266146475,0.08056459617785677
89,6,0.4,9,0.013746369796368115,0.08218243991718577
90,7,0.2,2,0.01031795142738484,0.07806642965243354
91,7,0.2,3,0.010032267229669907,0.08053834969072385
92,7,0.2,5,0.010431553461403379,0.08210304698865076
93,7,0.2,7,0.010770352466295152,0.08383966987312816
94,7,0.2,9,0.011010517989016226,0.08658496135884215
95,7,0.3,2,0.009833489825344755,0.06695065256457232
96,7,0.3,3,0.008800272101215248,0.06885361926413071
97,7,0.3,5,0.009934632998668012,0.07322103756570796
98,7,0.3,7,0.010330683180266458,0.07479134000508258
99,7,0.3,9,0.01065605015252038,0.07792321907406166
100,7,0.4,2,0.01595896281484242,0.08082284374724799
101,7,0.4,3,0.015573494889745475,0.081791726305203
102,7,0.4,5,0.014385952218104566,0.08166107610339386
103,7,0.4,7,0.013867847039462223,0.08222656502772983
104,7,0.4,9,0.014500398234737713,0.08519743950115621
